Date,Open,High,Low,Close,Adj Close,Volume
2020-12-22,352.299988,365.850006,349.350006,364.000000,363.183655,621772
2020-12-23,374.149994,387.600006,370.250000,385.399994,384.535675,1105311
2020-12-24,387.350006,387.350006,378.750000,382.200012,381.342865,480539
2020-12-28,383.299988,386.299988,382.000000,382.850006,381.991394,412875
2020-12-29,384.750000,390.399994,383.250000,384.950012,384.086700,904539
2020-12-30,387.500000,387.500000,382.799988,384.399994,383.537903,669383
2020-12-31,382.899994,387.350006,382.100006,386.250000,385.383759,521619
2021-01-01,385.850006,390.399994,384.950012,387.950012,387.079956,370728
2021-01-04,390.000000,397.950012,387.750000,396.299988,395.411224,629581
2021-01-05,395.500000,409.600006,393.500000,406.149994,405.239136,1016791
2021-01-06,406.149994,417.299988,403.500000,406.549988,405.638214,879596
2021-01-07,410.000000,412.899994,404.000000,406.750000,405.837799,599928
2021-01-08,407.950012,432.600006,407.549988,430.149994,429.185303,3479718
2021-01-11,439.799988,450.799988,435.100006,446.799988,445.797943,2020672
2021-01-12,448.450012,460.899994,442.250000,457.700012,456.673523,1319858
2021-01-13,463.899994,467.200012,453.100006,458.750000,457.721161,1546584
2021-01-14,452.799988,466.000000,431.000000,454.450012,453.430817,2500741
2021-01-15,453.000000,459.500000,436.250000,438.399994,437.416809,1367951
2021-01-18,440.200012,444.899994,429.000000,431.549988,430.582153,798561
2021-01-19,432.899994,439.600006,427.750000,430.299988,429.334961,679805
2021-01-20,433.899994,447.399994,433.500000,444.950012,443.952118,1759687
2021-01-21,451.799988,453.350006,442.200012,445.899994,444.899994,880763
2021-01-22,447.049988,452.000000,440.299988,445.200012,445.200012,530239
2021-01-25,445.399994,450.600006,435.250000,437.250000,437.250000,517060
2021-01-27,439.000000,454.799988,437.299988,446.250000,446.250000,740724
2021-01-28,442.500000,448.200012,427.399994,431.750000,431.750000,929271
2021-01-29,438.200012,438.200012,415.700012,418.049988,418.049988,453277
2021-02-01,416.700012,423.750000,408.350006,421.250000,421.250000,672749
2021-02-02,428.000000,435.649994,423.899994,428.149994,428.149994,914516
2021-02-03,430.000000,439.850006,430.000000,433.450012,433.450012,586334
2021-02-04,433.500000,436.649994,428.149994,429.899994,429.899994,813899
2021-02-05,431.000000,435.000000,420.500000,425.600006,425.600006,311209
2021-02-08,430.000000,437.500000,426.549988,435.250000,435.250000,690837
2021-02-09,440.000000,451.500000,435.250000,438.950012,438.950012,963047
2021-02-10,443.000000,444.149994,434.899994,439.000000,439.000000,402779
2021-02-11,439.950012,440.649994,433.450012,436.100006,436.100006,341427
2021-02-12,443.700012,449.250000,439.799988,441.950012,441.950012,574132
2021-02-15,445.000000,445.000000,436.950012,439.700012,439.700012,184056
2021-02-16,447.000000,447.649994,433.799988,437.350006,437.350006,430309
2021-02-17,437.500000,438.899994,429.000000,430.299988,430.299988,343308
2021-02-18,431.000000,436.500000,429.350006,433.000000,433.000000,403118
2021-02-19,432.350006,435.600006,426.149994,429.899994,429.899994,439985
2021-02-22,430.200012,432.649994,416.149994,418.700012,418.700012,355736
2021-02-23,420.000000,426.000000,414.250000,415.500000,415.500000,258165
2021-02-24,418.700012,457.049988,411.000000,423.950012,423.950012,1364385
2021-02-25,428.000000,429.000000,420.500000,421.399994,421.399994,810689
2021-02-26,416.000000,419.750000,408.000000,410.200012,410.200012,600564
2021-03-01,411.000000,418.700012,409.600006,414.350006,414.350006,302029
2021-03-02,419.000000,433.000000,418.350006,430.700012,430.700012,659954
2021-03-03,433.700012,436.350006,428.500000,435.450012,435.450012,937531
2021-03-04,430.100006,444.250000,423.850006,438.850006,438.850006,1243379
2021-03-05,440.000000,440.000000,417.000000,420.399994,420.399994,2173436
2021-03-08,425.799988,425.799988,415.500000,416.850006,416.850006,458195
2021-03-09,418.600006,422.549988,410.149994,418.799988,418.799988,319919
2021-03-10,426.450012,430.500000,423.000000,426.649994,426.649994,504464
2021-03-12,430.250000,431.799988,422.250000,425.000000,425.000000,228439
2021-03-15,425.000000,428.649994,418.000000,426.399994,426.399994,212880
2021-03-16,426.549988,434.899994,425.799988,429.250000,429.250000,755252
2021-03-17,429.000000,435.500000,417.799988,419.549988,419.549988,278501
2021-03-18,424.799988,424.799988,404.399994,410.100006,410.100006,267721
2021-03-19,409.899994,413.450012,399.450012,410.549988,410.549988,1131410
2021-03-22,410.600006,416.200012,410.200012,414.149994,414.149994,354978
2021-03-23,419.000000,423.299988,412.850006,415.649994,415.649994,294944
2021-03-24,412.000000,415.450012,409.200012,410.950012,410.950012,237018
2021-03-25,410.950012,411.350006,398.000000,399.799988,399.799988,245285
2021-03-26,404.299988,407.549988,400.799988,403.850006,403.850006,446318
2021-03-30,405.000000,419.899994,405.000000,417.899994,417.899994,332960
2021-03-31,418.000000,419.399994,413.299988,414.200012,414.200012,171039
2021-04-01,419.100006,422.750000,414.500000,416.200012,416.200012,454283
2021-04-05,418.799988,427.700012,416.399994,425.500000,425.500000,739379
2021-04-06,428.000000,429.000000,422.250000,426.950012,426.950012,442960
2021-04-07,425.899994,440.000000,423.049988,438.000000,438.000000,319574
2021-04-08,442.500000,445.500000,440.200012,441.899994,441.899994,1397676
2021-04-09,443.100006,452.000000,439.899994,449.450012,449.450012,346362
2021-04-12,450.000000,454.549988,429.799988,432.500000,432.500000,525334
2021-04-13,430.500000,437.350006,412.750000,418.649994,418.649994,882242
2021-04-15,420.399994,434.000000,415.000000,431.000000,431.000000,756462
2021-04-16,442.000000,473.500000,437.000000,469.250000,469.250000,5049338
2021-04-19,463.200012,478.000000,460.799988,472.649994,472.649994,2020253
2021-04-20,478.850006,478.850006,467.049988,469.950012,469.950012,702283
2021-04-22,470.000000,494.500000,470.000000,486.600006,486.600006,1640100
2021-04-23,483.799988,487.350006,474.399994,475.700012,475.700012,523394
2021-04-26,478.100006,483.500000,477.149994,480.100006,480.100006,363931
2021-04-27,481.799988,486.899994,481.149994,485.000000,485.000000,244793
2021-04-28,488.000000,493.000000,481.500000,489.450012,489.450012,350101
2021-04-29,494.000000,494.000000,485.700012,489.899994,489.899994,394028
2021-04-30,491.500000,511.950012,489.399994,492.399994,492.399994,1478318
2021-05-03,492.399994,495.950012,483.149994,487.500000,487.500000,341385
2021-05-04,487.000000,487.500000,477.799988,481.850006,481.850006,469869
2021-05-05,485.950012,495.850006,484.649994,490.799988,490.799988,395100
2021-05-06,496.899994,514.849976,487.450012,512.450012,512.450012,1321878
2021-05-07,512.450012,516.500000,507.399994,515.150024,515.150024,673394
2021-05-10,516.099976,528.349976,513.250000,526.000000,526.000000,416862
2021-05-11,519.000000,523.400024,514.000000,518.250000,518.250000,370538
2021-05-12,521.450012,522.150024,496.649994,507.850006,507.850006,401232
2021-05-14,508.250000,510.850006,492.750000,498.350006,498.350006,404402
2021-05-17,499.399994,503.700012,495.000000,499.649994,499.649994,177530
2021-05-18,505.000000,514.750000,501.750000,508.250000,508.250000,233409
2021-05-19,508.000000,517.750000,505.049988,511.549988,511.549988,338150
2021-05-20,515.150024,517.150024,503.799988,508.399994,508.399994,160795
2021-05-21,509.399994,515.849976,509.399994,512.700012,512.700012,295593
2021-05-24,512.900024,518.500000,510.000000,514.950012,514.950012,138708
2021-05-25,517.400024,524.700012,515.750000,517.500000,517.500000,348011
2021-05-26,515.700012,530.400024,515.099976,527.200012,527.200012,320922
2021-05-27,528.000000,545.000000,525.200012,541.299988,541.299988,478704
2021-05-28,540.400024,541.000000,532.599976,538.650024,538.650024,370558
2021-05-31,539.450012,540.349976,531.200012,538.900024,538.900024,193982
2021-06-01,539.900024,547.000000,539.799988,542.700012,542.700012,200765
2021-06-02,542.700012,544.950012,533.049988,543.049988,543.049988,177389
2021-06-03,546.000000,550.000000,538.349976,539.000000,539.000000,284277
2021-06-04,544.400024,545.700012,540.450012,541.099976,541.099976,224064
2021-06-07,544.000000,551.150024,543.000000,548.299988,548.299988,186188
2021-06-08,550.799988,555.500000,549.500000,550.500000,550.500000,297493
2021-06-09,554.700012,554.700012,542.349976,544.049988,544.049988,274478
2021-06-10,544.799988,555.400024,544.799988,554.250000,554.250000,178119
2021-06-11,556.400024,558.900024,551.500000,554.299988,554.299988,377905
2021-06-14,555.000000,562.849976,552.599976,561.599976,561.599976,383323
2021-06-15,562.000000,564.000000,557.349976,557.849976,557.849976,2814441
2021-06-16,562.450012,562.500000,553.400024,555.349976,555.349976,194561
2021-06-17,553.900024,561.299988,549.700012,558.900024,558.900024,241705
2021-06-18,560.049988,561.950012,546.000000,550.099976,550.099976,341868
2021-06-21,546.500000,546.500000,535.200012,542.200012,542.200012,377994
2021-06-22,545.000000,559.849976,542.400024,556.450012,556.450012,328289
2021-06-23,560.000000,560.750000,538.700012,540.299988,540.299988,3006952
2021-06-24,543.900024,550.500000,539.299988,549.000000,549.000000,500997
2021-06-25,549.000000,552.000000,540.849976,547.549988,547.549988,207615
2021-06-28,550.500000,550.849976,544.099976,547.250000,547.250000,273186
2021-06-29,549.900024,553.750000,541.250000,542.500000,542.500000,305188
2021-06-30,546.000000,547.900024,542.250000,545.650024,545.650024,134058
2021-07-01,545.650024,546.150024,538.000000,539.400024,539.400024,177566
2021-07-02,540.400024,542.400024,533.849976,538.750000,538.750000,255756
2021-07-05,542.000000,543.000000,535.400024,536.250000,536.250000,259989
2021-07-06,536.349976,538.349976,531.849976,532.549988,532.549988,152747
2021-07-07,533.000000,536.349976,525.349976,532.099976,532.099976,196660
2021-07-08,535.000000,536.950012,528.200012,531.049988,531.049988,117761
2021-07-09,528.000000,530.599976,523.500000,525.799988,525.799988,409318
2021-07-12,531.700012,532.150024,523.299988,525.900024,525.900024,966305
2021-07-13,528.799988,528.900024,522.549988,524.900024,524.900024,242733
2021-07-14,527.849976,563.049988,525.750000,561.599976,561.599976,1978378
2021-07-15,562.799988,579.750000,559.000000,575.750000,575.750000,1162742
2021-07-16,580.000000,589.000000,568.250000,577.650024,577.650024,1319818
2021-07-19,574.000000,584.450012,570.599976,573.599976,573.599976,973620
2021-07-20,576.400024,578.250000,561.650024,568.549988,568.549988,526340
2021-07-22,576.000000,584.950012,571.049988,584.049988,584.049988,641435
2021-07-23,586.099976,601.500000,584.000000,599.150024,599.150024,652602
2021-07-26,599.150024,600.000000,588.349976,590.599976,590.599976,277109
2021-07-27,589.599976,594.599976,584.049988,591.500000,591.500000,327183
2021-07-28,591.400024,593.349976,583.000000,591.799988,591.799988,387237
2021-07-29,593.799988,597.950012,588.000000,590.950012,590.950012,180949
2021-07-30,589.650024,593.000000,584.599976,586.599976,586.599976,195242
2021-08-02,588.500000,595.200012,582.299988,591.849976,591.849976,197314
2021-08-03,604.799988,604.799988,594.299988,599.150024,599.150024,190308
2021-08-04,604.900024,604.900024,594.200012,596.849976,596.849976,244281
2021-08-05,597.000000,614.549988,597.000000,601.000000,601.000000,798154
2021-08-06,602.549988,606.450012,596.150024,598.099976,598.099976,253604
2021-08-09,599.400024,606.000000,595.400024,596.650024,596.650024,309504
2021-08-10,599.799988,608.799988,593.150024,603.650024,603.650024,258797
2021-08-11,603.000000,606.299988,598.599976,600.950012,600.950012,154822
2021-08-12,602.900024,608.650024,600.900024,605.849976,605.849976,158360
2021-08-13,606.700012,620.349976,606.150024,615.500000,615.500000,6135854
2021-08-16,617.500000,620.950012,610.400024,614.049988,614.049988,260115
2021-08-17,614.000000,636.799988,611.650024,634.799988,634.799988,703536
